ISO,gdppercapita1,gdppercapita1000,gdppercapita1500,gdppercapita1700,gdppercapita1820,gdppercapita1870,gdppercapita1913,gdppercapita1950,gdppercapita1960,gdppercapita1970,gdppercapita1980,gdppercapita1990,gdppercapita2000,gdppercapita2008
ZWE,,,,,,,,701,938,1282,1295,1355,1320,779
ZMB,,,,,,,,661,960,1073,911,806,640,845
ZAF,,,,,415,858,1602,2535,3041,4045,4390,3834,3890,4793
YEM,,,,,,,,911,964,1230,2290,2272,2617,2699
VNM,,,,,527,505,727,658,799,735,757,1025,1809,2970
VEN,,,,,460,569,1104,7462,9646,10672,10139,8313,8433,10596
UZB,,,,,,,,,,,,4260,3439,5284
USA,400,400,400,527,1257,2445,5301,9561,11328,15030,18577,23201,28467,31178
URY,,,,,,2181,3310,4659,4960,5184,6555,6465,7873,9893
UKR,,,,,,,,,,,,6027,2745,5003
UGA,,,,,,,,687,713,867,572,585,773,1008
TZA,,,,,,,,424,459,568,601,549,525,744
TWN,,,,,550,550,732,916,1353,2537,5260,9938,16872,20926
TUR,550,600,600,600,643,825,1213,1623,2247,3078,4022,5399,6446,8066
TUN,550,,,,430,633,883,1115,1343,1827,2944,3335,4550,6103
TTO,,,,,,,,3674,6251,8244,12380,8853,12220,21314
TKM,,,,,,,,,,,,3636,2395,4383
TJK,,,,,,,,,,,,3013,913,1540
THA,,,,,570,608,841,817,1078,1694,2554,4633,6398,8750
TGO,,,,,,,,574,698,1075,1097,800,614,606
TCD,,,,,,,,476,569,513,341,434,449,706
SYR,,,,,658,844,1350,2409,3023,3540,6508,5701,7368,8360
SYC,,,,,,,,1912,2367,2570,4444,5169,6367,6109
SWZ,,,,,,,,721,935,2036,2397,2435,2630,3150
SWE,400,400,651,750,819,1359,3073,6769,8792,13011,15016,17781,20710,24409
SVN,,,,,,,,,,,,10860,12877,18170
SVK,,,,,,,,,,,,7763,8220,13033
SRB,,,,,,599,1057,1551,2437,3755,6063,5646,4826,6686
SRB,,,,,,,,,,,,5011,2501,3620
SOM,,,,,,,,1057,1277,1138,1036,1081,848,978
SLV,,,,,,,,1489,1764,2187,2354,2119,2714,2940
SLE,,,,,,,,656,856,1129,1116,1026,409,686
SGP,,,,,83,682,1279,2219,2310,4439,9058,14220,22518,28107
SEN,,,,,,,,1259,1445,1435,1268,1254,1313,1456
SDN,,,,,,,,821,1024,888,931,760,1017,1524
SAU,,,,,,,,2231,3719,7624,13217,8993,7650,8435
RWA,,,,,,,,547,656,717,952,877,742,1020
RUS,400,400,499,610,688,943,1488,2841,3945,5575,6427,7779,5277,9111
ROU,,,,,,931,1741,1182,1844,2853,4135,3511,3006,4895
QAT,,,,,,,,30387,32810,32573,28771,7343,9844,17311
PSE,,,,,614,751,1250,960,1393,1865,2528,3353,5130,2178
PRY,,,,,,,,1584,1555,1872,3301,3281,3011,3295
PRT,450,425,606,819,923,975,1250,2086,2956,5473,8044,10826,13813,14436
PRK,,,,,600,604,869,854,1105,1954,2841,2841,1190,1122
PRI,,,,,,,,2144,3421,6349,8183,10539,14113,15074
POL,,,,,,946,1739,2447,3215,4428,5740,5113,7309,10160
PHL,,,,,584,624,988,1070,1476,1764,2376,2197,2377,2926
PER,,,,,,,1032,2308,2969,3854,4263,3008,3817,5388
PAN,,,,,,,,1916,2391,3814,5082,4466,5655,6675
PAK,,,,,,,,643,647,952,1161,1588,1814,2239
OMN,,,,,,,,623,935,3799,4072,6479,7113,8332
NZL,,400,400,400,400,3100,5152,8456,9465,11189,12347,13687,16246,18653
NPL,,,,,397,397,539,496,607,653,652,825,994,1134
NOR,400,400,610,722,801,1360,2447,5430,7204,10027,15076,18466,25102,28500
NLD,425,425,761,2130,1838,2757,4049,5996,8287,11967,14705,17262,22161,24695
NIC,,,,,,,,1616,1983,2812,2154,1437,1520,1674
NGA,,,,,,,,753,820,1094,1305,1112,1161,1524
NER,,,,,,,,617,761,839,810,547,467,514
NAM,,,,,,,,2160,2616,3321,3767,3141,3661,4571
MYS,,,,,603,663,900,1559,1530,2079,3657,5131,8162,10292
MWI,,,,,,,,324,394,447,630,540,639,744
MUS,,,,,,,,2490,2777,2945,4367,7208,10593,14529
MRT,,,,,,,,464,625,1059,1009,948,1085,1299
MOZ,,,,,,,,1133,1327,1743,1220,1114,1338,2160
MNG,,,,,,,,435,586,787,1058,1332,1059,1001
MMR,,,,,504,504,685,396,564,642,828,786,1389,3104
MLI,,,,,,,,457,534,586,733,747,894,1145
MKD,,,,,,,,,,,,3972,3341,4063
MEX,400,400,425,568,759,674,1732,2365,3155,4320,6320,6085,7275,7979
MDG,,,,,,,,951,1125,1226,1054,792,695,730
MDA,,,,,,,,,,,,6170,2146,3540
MAR,450,430,430,430,430,563,710,1455,1329,1616,2272,2591,2652,3465
LVA,,,,,,,,,,,,9916,7694,14816
LTU,,,,,,,,,,,,8663,6346,11342
LSO,,,,,,,,355,458,604,1005,1181,1469,1952
LKA,,,,,550,851,1234,1253,1295,1499,1830,2424,3597,4895
LBY,550,,,,,,,857,1830,9115,7272,3087,2313,2994
LBR,,,,,,,,1055,1230,1492,1162,1060,990,802
LBN,,,,,657,845,1350,2429,2393,2917,3524,1936,3403,4453
LAO,,,,,,,,613,679,748,876,929,1203,1669
KWT,,,,,,,,28878,28813,30695,13271,6121,10083,12894
KOR,,,,,600,604,869,854,1226,2167,4114,8704,14375,19614
KHM,,,,,,,,482,671,647,828,881,1148,2482
KGZ,,,,,,,,,,,,3602,2167,2835
KEN,,,,,,,,651,726,915,1051,1117,1013,1098
KAZ,,,,,,,,,,,,7458,5648,11245
JPN,400,425,500,570,669,737,1387,1921,3986,9714,13428,18789,20738,22816
JOR,,,,,590,718,1000,1663,2330,2395,4480,3792,4089,5702
JAM,,,,,701,535,608,1327,2654,3849,3121,3786,3598,3668
ITA,809,450,1100,1100,1117,1499,2564,3502,5916,9719,13149,16313,18774,19909
ISR,,,,,,,,2817,4663,8101,10984,13067,16172,17937
IRQ,500,650,550,550,588,719,1000,1364,2735,3473,6377,2458,1221,1049
