year,Western Europe,Western Offshoots,East Europe,Former USSR,Latin America,Asia,Africa
1,14433.0,448.0,1956.0,1560.0,2240.0,76735.0,8030.0
1000,10925.0,748.0,2600.0,2840.0,4560.0,85815.0,13720.0
1500,44159.0,1120.0,6696.0,8458.0,7288.0,161317.0,19283.0
1600,65508.0,920.0,9289.0,11426.0,3763.0,217089.0,23349.0
1700,80927.0,833.0,11393.0,16196.0,6346.0,229671.0,25692.0
1820,158860.0,13499.0,24906.0,37678.0,14921.0,412476.8,31161.0
1870,366198.3,111493.0,50163.0,83646.0,27311.0,425638.3,45234.0
1900,673986.7,346868.7,102084.0,154049.0,71911.1,556845.0,66136.0
1913,902080.0,582941.0,134793.8,232351.0,120795.9,680742.0,79486.0
1940,1336921.9,1046210.8,185023.0,420091.0,251167.0,1107589.0,157632.0
1950,1396287.0,1635490.0,185023.0,510243.0,415327.8,990843.4,202645.7
1951,1478816.5,1753540.0,195670.2,512566.0,437607.9,1059615.9,212140.9
1952,1532293.1,1821083.0,198236.3,545792.0,452888.3,1140733.3,220251.5
1953,1610497.6,1903763.0,209144.9,569260.0,469305.1,1218707.3,228309.4
1954,1699164.9,1898106.0,218886.0,596910.0,497515.3,1271440.9,239200.8
1955,1805098.4,2032869.0,233857.3,648027.0,530740.1,1332473.3,247455.9
1956,1887739.0,2082376.0,239493.6,710065.0,553756.8,1420757.4,257531.6
1957,1970163.1,2123207.0,257611.2,724470.0,595615.9,1485861.0,266967.5
1958,2018487.1,2111417.0,272634.8,778840.0,626497.1,1581389.6,273020.7
1959,2115137.0,2261993.0,286885.8,770244.0,639244.4,1651913.4,288032.5
1960,2251312.2,2320141.0,304684.6,843434.0,682111.5,1730316.6,300822.2
1961,2371373.2,2374411.0,322781.0,891763.0,715055.7,1742593.1,307340.2
1962,2487985.2,2518521.0,328253.0,915928.0,744539.0,1821776.7,319462.7
1963,2604574.2,2630968.0,344112.0,895016.0,767313.9,1949306.7,342260.8
1964,2762322.9,2785505.0,364518.0,1010727.0,819921.9,2121324.6,360566.5
1965,2878096.4,2962352.0,380016.0,1068117.0,861731.2,2229710.6,380229.0
1966,2985811.0,3151817.0,404452.0,1119932.0,904676.7,2389187.1,391056.5
1967,3091710.7,3234760.0,420645.0,1169422.0,945664.3,2508141.3,398811.2
1968,3255803.9,3389792.0,436444.0,1237966.0,1001656.7,2676136.8,418961.3
1969,3442083.0,3507231.0,449862.0,1255392.0,1066039.4,2929651.9,451653.6
1970,3593297.4,3527862.0,465695.0,1351818.0,1139997.9,3198708.2,488561.7
1971,3715846.2,3647077.0,499790.0,1387832.0,1208086.0,3367297.5,510563.8
1972,3879752.9,3836032.0,524971.0,1395732.0,1285575.2,3567263.5,529090.6
1973,4101033.7,4058289.0,550756.0,1513070.0,1389460.5,3854320.8,548221.8
1974,4190027.9,4067628.0,583528.0,1556984.0,1470339.0,3945864.7,573624.2
1975,4171107.0,4069398.0,604251.0,1561399.0,1517432.8,4133548.9,580788.2
